Time - 0028.png: 1.3517, num_target: 30.0000, num_group: 10.0000
PSNR - 0028.png: 11.7930, num_target: 30.0000, num_group: 15.0000
RSE - 0028.png: 0.4092, num_target: 30.0000, num_group: 15.0000
Time - 0028.png: 2.2542, num_target: 30.0000, num_group: 15.0000
PSNR - 0028.png: 12.1790, num_target: 30.0000, num_group: 20.0000
RSE - 0028.png: 0.3914, num_target: 30.0000, num_group: 20.0000
Time - 0028.png: 3.1283, num_target: 30.0000, num_group: 20.0000
PSNR - 0028.png: 13.9789, num_target: 30.0000, num_group: 25.0000
RSE - 0028.png: 0.3182, num_target: 30.0000, num_group: 25.0000
Time - 0028.png: 4.3695, num_target: 30.0000, num_group: 25.0000
PSNR - 0028.png: 11.3549, num_target: 30.0000, num_group: 30.0000
RSE - 0028.png: 0.4304, num_target: 30.0000, num_group: 30.0000
Time - 0028.png: 5.5368, num_target: 30.0000, num_group: 30.0000
PSNR - 0028.png: 13.1462, num_target: 30.0000, num_group: 35.0000
RSE - 0028.png: 0.3502, num_target: 30.0000, num_group: 35.0000
Time - 0028.png: 6.9630, num_target: 30.0000, num_group: 35.0000
PSNR - 0028.png: 13.7126, num_target: 30.0000, num_group: 40.0000
RSE - 0028.png: 0.3281, num_target: 30.0000, num_group: 40.0000
Time - 0028.png: 10.3988, num_target: 30.0000, num_group: 40.0000
PSNR - 0028.png: 13.4551, num_target: 30.0000, num_group: 45.0000
RSE - 0028.png: 0.3380, num_target: 30.0000, num_group: 45.0000
Time - 0028.png: 11.5241, num_target: 30.0000, num_group: 45.0000
PSNR - 0028.png: 13.7044, num_target: 30.0000, num_group: 50.0000
RSE - 0028.png: 0.3284, num_target: 30.0000, num_group: 50.0000
Time - 0028.png: 14.3138, num_target: 30.0000, num_group: 50.0000
PSNR - 0028.png: 8.0002, num_target: 35.0000, num_group: 10.0000
RSE - 0028.png: 0.6333, num_target: 35.0000, num_group: 10.0000
Time - 0028.png: 1.2771, num_target: 35.0000, num_group: 10.0000
PSNR - 0028.png: 9.4160, num_target: 35.0000, num_group: 15.0000
RSE - 0028.png: 0.5380, num_target: 35.0000, num_group: 15.0000
Time - 0028.png: 2.1468, num_target: 35.0000, num_group: 15.0000
PSNR - 0028.png: 12.0946, num_target: 35.0000, num_group: 20.0000
RSE - 0028.png: 0.3953, num_target: 35.0000, num_group: 20.0000
Time - 0028.png: 3.5687, num_target: 35.0000, num_group: 20.0000
PSNR - 0028.png: 10.6074, num_target: 35.0000, num_group: 25.0000
